trip_id,start_time,end_time,headway_secs,exact_times
28269645,20:45:00,20:48:00,180,1
28269650,21:15:00,23:15:00,1800,1
28269528,24:15:00,24:45:00,1800,1
28269531,20:45:00,20:48:00,180,1
28269534,21:15:00,23:15:00,1800,1
28228079,06:43:00,06:59:00,960,1
28228094,08:40:00,08:57:00,1020,1
28228189,22:00:00,22:30:00,1800,1
28228084,07:15:00,07:49:00,1020,1
28227974,05:35:00,05:55:00,1200,1
28228069,05:35:00,05:55:00,1200,1
28228074,06:10:00,06:26:00,960,1
28227977,06:10:00,06:26:00,960,1
28227980,06:43:00,07:15:00,960,1
28228104,10:05:00,10:22:00,1020,1
28228119,12:04:00,13:29:00,1020,1
28228129,14:03:00,14:54:00,1020,1
28228169,18:17:00,19:25:00,1020,1
28227983,07:32:00,08:23:00,1020,1
28227992,09:31:00,11:30:00,1020,1
28228089,08:06:00,08:23:00,1020,1
28228099,09:14:00,09:48:00,1020,1
28228114,11:13:00,11:47:00,1020,1
28228134,15:11:00,15:28:00,1020,1
28228144,16:02:00,16:36:00,1020,1
28228049,22:00:00,22:30:00,1800,1
28227986,08:40:00,08:57:00,1020,1
28228007,15:11:00,15:28:00,1020,1
28228034,19:42:00,19:59:00,1020,1
28228174,19:42:00,20:33:00,1020,1
28228109,10:39:00,10:56:00,1020,1
28228154,17:09:00,17:26:00,1020,1
28227995,11:47:00,12:55:00,1020,1
28228019,17:09:00,17:26:00,1020,1
28228028,18:17:00,18:51:00,1020,1
28227998,13:12:00,13:29:00,1020,1
28228004,14:03:00,14:54:00,1020,1
28228013,16:02:00,16:36:00,1020,1
28228031,19:08:00,19:25:00,1020,1
28289112,06:33:00,06:59:00,1560,1
28289169,20:00:00,20:30:00,1800,1
28289175,21:30:00,22:30:00,1800,1
28289106,05:15:00,05:41:00,1560,1
28289115,07:15:00,09:14:00,1020,1
28289124,11:13:00,11:30:00,1020,1
28289145,15:00:00,15:30:00,1800,1
28289187,06:00:00,08:30:00,1800,1
28289288,10:30:00,11:30:00,1800,1
28289118,09:31:00,10:22:00,1020,1
28289133,12:38:00,12:55:00,1020,1
28289196,10:00:00,11:00:00,1800,1
28289202,12:00:00,12:30:00,1800,1
28289121,10:39:00,10:56:00,1020,1
28289130,12:04:00,12:21:00,1020,1
28289136,13:12:00,13:30:00,1080,1
28289205,13:00:00,15:00:00,1800,1
28289298,16:30:00,17:00:00,1800,1
28289166,19:00:00,19:30:00,1800,1
28289307,21:30:00,22:30:00,1800,1
28266368,05:25:00,06:05:00,1200,1
28266560,20:35:00,20:52:00,1020,1
28266485,06:39:00,06:56:00,1020,1
28266545,19:10:00,19:27:00,1020,1
28266480,06:05:00,06:22:00,1020,1
28266490,07:13:00,07:30:00,1020,1
28266374,06:39:00,07:30:00,1020,1
28266535,18:02:00,18:19:00,1020,1
28266520,16:36:00,16:54:00,1080,1
28266389,10:03:00,10:20:00,1020,1
28266404,12:36:00,12:53:00,1020,1
28266416,14:35:00,15:26:00,1020,1
28266425,16:36:00,16:54:00,1080,1
28266428,17:11:00,17:45:00,1020,1
28266434,18:36:00,18:53:00,1020,1
28266380,08:04:00,08:55:00,1020,1
28266525,17:11:00,17:28:00,1020,1
28266500,08:04:00,14:52:00,1020,1
28266510,15:44:00,16:01:00,1020,1
28266383,09:12:00,09:29:00,1020,1
28266392,10:37:00,10:54:00,1020,1
28266505,15:09:00,15:26:00,1020,1
28266395,11:11:00,11:28:00,1020,1
28266401,12:02:00,12:19:00,1020,1
28266407,13:10:00,13:27:00,1020,1
28266413,14:01:00,14:18:00,1020,1
28266422,16:01:00,16:19:00,1080,1
28266540,18:36:00,18:53:00,1020,1
28266431,18:02:00,18:19:00,1020,1
28266437,19:10:00,19:27:00,1020,1
28266440,19:44:00,20:18:00,1020,1
28266555,20:01:00,20:18:00,1020,1
28266443,20:35:00,20:52:00,1020,1
28266570,21:45:00,22:45:00,1800,1
28288276,06:15:00,23:15:00,1800,1
28288133,05:52:00,06:19:00,1620,1
28288244,21:15:00,22:15:00,1800,1
28288145,08:04:00,08:21:00,1020,1
28288166,13:10:00,13:27:00,1020,1
28288139,07:13:00,07:30:00,1020,1
28288196,20:15:00,22:15:00,1800,1
28288214,06:45:00,08:15:00,1800,1
28288235,17:15:00,17:45:00,1800,1
28288241,18:45:00,20:45:00,1800,1
28288148,08:38:00,09:29:00,1020,1
28288154,11:11:00,11:28:00,1020,1
28288172,14:15:00,15:15:00,1800,1
28288178,16:15:00,17:15:00,1800,1
28288217,08:45:00,11:45:00,1800,1
28288223,12:45:00,13:15:00,1800,1
28288229,14:15:00,16:15:00,1800,1
28288163,12:36:00,12:53:00,1020,1
28288151,09:46:00,10:54:00,1020,1
28288160,12:02:00,12:19:00,1020,1
28214612,06:35:00,08:02:00,1740,1
28214613,08:32:00,19:32:00,1800,1
28214614,20:00:00,20:27:00,1620,1
28214513,06:35:00,08:02:00,1740,1
28214516,08:32:00,19:32:00,1800,1
28214519,20:00:00,20:27:00,1620,1
28214525,06:35:00,08:02:00,1740,1
28214528,08:32:00,19:32:00,1800,1
