trip_id,start_time,end_time,headway_secs,exact_times
24519646,07:10:00,07:30:00,1200,1
24519647,08:00:00,08:10:00,600,1
24519648,08:35:00,09:00:00,1500,1
24519649,09:30:00,11:00:00,1800,1
24519650,11:50:00,12:50:00,3600,1
24519651,13:45:00,14:50:00,3900,1
24519652,15:35:00,16:20:00,2700,1
24519653,16:55:00,18:55:00,3600,1
24519654,19:40:00,20:10:00,1800,1
24519620,05:35:00,06:05:00,1800,1
24519621,06:30:00,07:00:00,1800,1
24519622,07:10:00,07:30:00,1200,1
24519623,08:00:00,08:10:00,600,1
24519624,08:35:00,09:00:00,1500,1
24519625,09:30:00,11:00:00,1800,1
24519626,11:50:00,12:50:00,3600,1
24519627,13:45:00,14:50:00,3900,1
24519628,15:35:00,16:20:00,2700,1
24519629,16:55:00,18:55:00,3600,1
24519630,19:40:00,20:10:00,1800,1
24519662,07:40:00,08:40:00,3600,1
24519660,06:50:00,07:05:00,900,1
24519668,05:45:00,06:15:00,1800,1
24519669,17:00:00,17:30:00,1800,1
24519670,17:50:00,18:10:00,1200,1
24519671,18:50:00,19:35:00,2700,1
24519705,10:45:00,14:45:00,3600,1
24519706,15:40:00,20:45:00,18300,1
24519707,21:35:00,22:25:00,3000,1
24519708,07:45:00,20:45:00,3600,1
24519712,10:00:00,15:00:00,3600,1
24519713,15:45:00,16:35:00,3000,1
